id,source_citation,source_group,title_or_description_from_source,constitute_topic2,date,congress,congressional_session,joint_resolution_chamber,joint_resolution_number,sponsor_name,sponsor_state_or_territory,committee_of_referral,text_of_amendment,ratified_yn,ratified_amendment,notes,constitute_topic1,constitute_topic3,constitute_topic4,constitute_topic5,constitute_topic6,constitute_topic7,constitute_topic8,constitute_topic9,flag_title,flag_text,flag
7291,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1970-08-28,91,NA,NA,NA,Stevens,Alaska,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8007,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1970-09-21,91,NA,NA,NA,Langen,Minnesota,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8381,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1971-05-11,92,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
8737,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,Flag of the United States,NA,1973-02-20,93,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
9000,"Davis, Richard. Proposed Amendments to the Constitution of the United States Introduced in Congress from the 91st Congress, 1st Session through the 98th Congress, 2d Session, January 1969-December 1984, (CRS Report No. 85-36 GOV), Washington: Congressional Research Service, 1985.",NARA,"Flag of the United States, voluntary Pledge of Allegiance",NA,1975-01-14,94,NA,NA,NA,Pettis,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10631,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bilirakis,Florida,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10632,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Wylie,Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10633,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bentley,Maryland,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10634,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Bevill,Alabama,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10635,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Callahan,Alabama,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10636,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Derrick,South Carolina,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10637,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Dornan,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10638,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Fields,Texas,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10639,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Dreier,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10642,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Protect the flag,express-,1989-06-22,101,NA,NA,NA,"Martin, L.",Illinois,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10643,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,"Miller, C",Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10644,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Pickett,Virginia,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10645,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Rhodes,Arizona,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10646,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Schuette,Michigan,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10647,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Volkmer,Missouri,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10648,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Walker,Pennsylvania,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10649,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Wolf,Virginia,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10650,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-23,101,NA,NA,NA,Emerson,Missouri,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10651,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-23,101,NA,NA,NA,Gekas,Pennsylvania,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10652,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-23,101,NA,NA,NA,Horton,New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10653,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Applegate,Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10654,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Grant,Florida,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10655,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Hutto,Florida,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10656,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,McEwen,Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10657,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Murphy,Pennsylvania,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10658,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Oxley,Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10659,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Paxon,New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10660,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Ritter,Pennsylvania,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10661,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,"Smith, C.",New Jersey,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10662,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-27,101,NA,NA,NA,Solomon,New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10663,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-28,101,NA,NA,NA,Alexander,Arkansas,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10664,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-28,101,NA,NA,NA,Gaydos,Pennsylvania,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10665,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-28,101,NA,NA,NA,Watkins,Oklahoma,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10666,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-28,101,NA,NA,NA,Herger,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10668,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-29,101,NA,NA,NA,Sangmeister,Illinois,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10669,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-29,101,NA,NA,NA,Spence,South Carolina,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10670,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-29,101,NA,NA,NA,Michel,Illinois,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10671,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-29,101,NA,NA,NA,Vander Jagt,Michigan,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10672,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,"Constitution does not protect flag desecration, nor expenditure of money for elections as free speech",express-,1989-07-12,101,NA,NA,NA,Jacobs,Indiana,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10673,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-07-12,101,NA,NA,NA,Burton,Indiana,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10674,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-07-13,101,NA,NA,NA,Dyson,Maryland,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10675,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-07-27,101,NA,NA,NA,Douglas,New Hampshire,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10684,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1990-02-27,101,NA,NA,NA,Hubbard,Kentucky,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10687,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1990-05-01,101,NA,NA,NA,Solomon,New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10726,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Protect integrity of the flag,express-,1989-06-22,101,NA,NA,NA,Wilson,California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10727,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-22,101,NA,NA,NA,Thurmond,South Carolina,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10728,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit contemptuous conduct toward the flag,express-,1989-06-22,101,NA,NA,NA,Hatch,Utah,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10729,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-06-23,101,NA,NA,NA,Grassley,Iowa,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10730,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-07-18,101,NA,NA,NA,Byrd,West Virginia,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10731,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1989-07-18,101,NA,NA,NA,Dole,Kansas,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10737,"Harris, Daryl B. Proposed Amendments to the Constitution: 99th-101st Congress (1985-1990), (CRS Report No. 92-555 GOV), Washington: Congressional Research Service, 1992.",NARA,Prohibit desecration of the flag,express-,1990-05-25,101,NA,NA,NA,Dole,Kansas,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10748,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the act of desecration of the flag of the United States and to set criminal penalties for that act.,express-,1991-01-03,102,NA,NA,NA,"Emerson, Bill",Missouri,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10761,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the act of desecration of the flag of the United States and to set criminal penalties for that act.,express-,1991-01-03,102,NA,NA,NA,"Solomon, Gerald B.H.",New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10768,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States with respect to burning the flag of the United States.,express-,1991-01-03,102,NA,NA,NA,"Hammerschmidt, John P.",Arkansas,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10778,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the act of physical desecration of the flag of the United States and to set criminal penalties for that act.,express-,1991-01-18,102,NA,NA,NA,"Solomon, Gerald B.H.",New York,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10779,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the act of desecration of the flag of the United States and to set criminal penalties for that act.,express-,1991-01-22,102,NA,NA,NA,"Applegate, Douglas",Ohio,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
10784,"United States Congress. Congress.gov: Legislation. Washington, D.C.: U. S. Congress, undated. https://www.congress.gov",NARA,Proposing an amendment to the Constitution of the United States authorizing the Congress and the States to prohibit the physical desecration of the flag of the United States.,express-,1991-01-28,102,NA,NA,NA,"Dornan, Robert K.",California,NA,NA,NA,NA,NA,flag,NA,NA,NA,NA,NA,NA,NA,TRUE,NA,TRUE
