Congress (Years),n
1st (1789-1791),65
2nd (1791-1793),69
3rd (1793-1795),105
4th (1795-1797),106
5th (1797-1799),106
6th (1799-1801),106
7th (1801-1803),106
8th (1803-1805),142
9th (1805-1807),142
10th (1807-1809),142
11th (1809-1811),142
12th (1811-1813),143
13th (1813-1815),182
14th (1815-1817),183
15th (1817-1819),185
16th (1819-1821),186
17th (1821-1823),187
18th (1823-1825),213
19th (1825-1827),213
20th (1827-1829),213
21st (1829-1831),213
22nd (1831-1833),213
23rd (1833-1835),240
24th (1835-1837),242
25th (1837-1839),242
26th (1839-1841),242
27th (1841-1843),242
28th (1843-1845),223
29th (1845-1847),228
30th (1847-1849),230
31st (1849-1851),233
32nd (1851-1853),233
33rd (1853-1855),234
34th (1855-1857),234
35th (1857-1859),237
36th (1859-1861),238
37th (1861-1863),183
38th (1863-1865),184
39th (1865-1867),193
40th (1867-1869),226
41st (1869-1871),243
42nd (1871-1873),243
43rd (1873-1875),292
44th (1875-1877),293
45th (1877-1879),293
46th (1879-1881),293
47th (1881-1883),293
48th (1883-1885),325
49th (1885-1887),325
50th (1887-1889),325
51st (1889-1891),332
52nd (1891-1893),332
53rd (1893-1895),356
54th (1895-1897),357
55th (1897-1899),357
56th (1899-1901),357
57th (1901-1903),357
58th (1903-1905),386
59th (1905-1907),386
60th (1907-1909),391
61st (1909-1911),391
62nd (1911-1913),394
63rd (1913-1915),435
64th (1915-1917),435
65th (1917-1919),435
66th (1919-1921),435
67th (1921-1923),435
68th (1923-1925),435
69th (1925-1927),435
70th (1927-1929),435
71st (1929-1931),435
72nd (1931-1933)2,435
73rd (1933-1935),435
74th (1935–1937),435
75th (1937–1939),435
76th (1939–1941),435
77th (1941–1943),435
78th (1943–1945),435
79th (1945–1947),435
80th (1947–1949),435
81st (1949–1951),435
82nd (1951–1953),435
83rd (1953–1955),435
84th (1955–1957),435
85th (1957–1959),435
86th (1959–1961),436
87th (1961–1963),437
88th (1963–1965),435
89th (1965–1967),435
90th (1967–1969),435
91st (1969–1971),435
92nd (1971–1973),435
93rd (1973–1975),435
94th (1975–1977),435
95th (1977–1979),435
96th (1979–1981),435
97th (1981–1983),435
98th (1983–1985),435
99th (1985–1987),435
100th (1987–1989),435
101st (1989–1991),435
102nd (1991–1993),435
103rd (1993–1995),435
104th (1995–1997),435
105th (1997–1999),435
106th (1999–2001),435
107th (2001–2003),435
108th (2003–2005),435
109th (2005–2007),435
110th (2007–2009),435
111th (2009–2011),435
112th (2011–2013),435
113th (2013–2015),435
114th (2015–2017),435
115th (2017–2019),435