year,states,senators
1787,3,6
1788,11,22
1789,12,24
1790,13,26
1791,14,28
1792,15,30
1793,15,30
1794,15,30
1795,15,30
1796,16,32
1797,16,32
1798,16,32
1799,16,32
1800,16,32
1801,16,32
1802,16,32
1803,17,34
1804,17,34
1805,17,34
1806,17,34
1807,17,34
1808,17,34
1809,17,34
1810,17,34
1811,17,34
1812,18,36
1813,18,36
1814,18,36
1815,18,36
1816,19,38
1817,20,40
1818,21,42
1819,22,44
1820,23,46
1821,24,48
1822,24,48
1823,24,48
1824,24,48
1825,24,48
1826,24,48
1827,24,48
1828,24,48
1829,24,48
1830,24,48
1831,24,48
1832,24,48
1833,24,48
1834,24,48
1835,24,48
1836,25,50
1837,26,52
1838,26,52
1839,26,52
1840,26,52
1841,26,52
1842,26,52
1843,26,52
1844,26,52
1845,28,56
1846,29,58
1847,29,58
1848,30,60
1849,30,60
1850,31,62
1851,31,62
1852,31,62
1853,31,62
1854,31,62
1855,31,62
1856,31,62
1857,31,62
1858,32,64
1859,33,66
1860,33,66
1861,34,68
1862,34,68
1863,35,70
1864,36,72
1865,36,72
1866,36,72
1867,37,74
1868,37,74
1869,37,74
1870,37,74
1871,37,74
1872,37,74
1873,37,74
1874,37,74
1875,37,74
1876,38,76
1877,38,76
1878,38,76
1879,38,76
1880,38,76
1881,38,76
1882,38,76
1883,38,76
1884,38,76
1885,38,76
1886,38,76
1887,38,76
1888,38,76
1889,42,84
1890,44,88
1891,44,88
1892,44,88
1893,44,88
1894,44,88
1895,44,88
1896,45,90
1897,45,90
1898,45,90
1899,45,90
1900,45,90
1901,45,90
1902,45,90
1903,45,90
1904,45,90
1905,45,90
1906,45,90
1907,46,92
1908,46,92
1909,46,92
1910,46,92
1911,46,92
1912,48,96
1913,48,96
1914,48,96
1915,48,96
1916,48,96
1917,48,96
1918,48,96
1919,48,96
1920,48,96
1921,48,96
1922,48,96
1923,48,96
1924,48,96
1925,48,96
1926,48,96
1927,48,96
1928,48,96
1929,48,96
1930,48,96
1931,48,96
1932,48,96
1933,48,96
1934,48,96
1935,48,96
1936,48,96
1937,48,96
1938,48,96
1939,48,96
1940,48,96
1941,48,96
1942,48,96
1943,48,96
1944,48,96
1945,48,96
1946,48,96
1947,48,96
1948,48,96
1949,48,96
1950,48,96
1951,48,96
1952,48,96
1953,48,96
1954,48,96
1955,48,96
1956,48,96
1957,48,96
1958,48,96
1959,50,100
1960,50,100
1961,50,100
1962,50,100
1963,50,100
1964,50,100
1965,50,100
1966,50,100
1967,50,100
1968,50,100
1969,50,100
1970,50,100
1971,50,100
1972,50,100
1973,50,100
1974,50,100
1975,50,100
1976,50,100
1977,50,100
1978,50,100
1979,50,100
1980,50,100
1981,50,100
1982,50,100
1983,50,100
1984,50,100
1985,50,100
1986,50,100
1987,50,100
1988,50,100
1989,50,100
1990,50,100
1991,50,100
1992,50,100
1993,50,100
1994,50,100
1995,50,100
1996,50,100
1997,50,100
1998,50,100
1999,50,100
2000,50,100
2001,50,100
2002,50,100
2003,50,100
2004,50,100
2005,50,100
2006,50,100
2007,50,100
2008,50,100
2009,50,100
2010,50,100
2011,50,100
2012,50,100
2013,50,100
2014,50,100